dataset_id,dataset_name,relative_path,data_zone,format,row_count,grain,key_fields,domain,validation_status,source_manifest,synthetic_data_flag,limitations
DATA-0001,README,data/README.md,documentation,md,,document,relative_path,portfolio,validated,data/raw/generation_manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0002,.gitkeep,data/interim/.gitkeep,documentation,text,,document,domain primary identifiers,portfolio,validated,data/raw/generation_manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0003,data-quality-report,data/interim/_metadata/data-quality-report.json,documentation,json,,document,domain primary identifiers,quality,validated,outputs/quality/quality-manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0004,ingestion-manifest,data/interim/_metadata/ingestion-manifest.json,documentation,json,,document,domain primary identifiers,ingestion,validated,data/interim/_metadata/ingestion-manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0005,lineage-records,data/interim/_metadata/lineage-records.json,documentation,json,,document,domain primary identifiers,portfolio,validated,data/raw/generation_manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0006,quarantine-summary,data/interim/_metadata/quarantine-summary.json,documentation,json,,document,domain primary identifiers,portfolio,validated,data/raw/generation_manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0007,validation-summary,data/interim/_metadata/validation-summary.json,documentation,json,,document,domain primary identifiers,portfolio,validated,data/raw/generation_manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0008,equipment_health,data/interim/accepted/equipment_health.jsonl,accepted,jsonl,504.0,one row per record in file,domain primary identifiers,portfolio,validated,data/raw/generation_manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0009,inventory_levels,data/interim/accepted/inventory_levels.csv,accepted,csv,72.0,one row per record in file,domain primary identifiers,inventory,validated,outputs/inventory/inventory-manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0010,production_events,data/interim/accepted/production_events.jsonl,accepted,jsonl,168.0,one row per record in file,domain primary identifiers,portfolio,validated,data/raw/generation_manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0011,quality_checks,data/interim/accepted/quality_checks.csv,accepted,csv,168.0,one row per record in file,domain primary identifiers,quality,validated,outputs/quality/quality-manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0012,sales_orders,data/interim/accepted/sales_orders.csv,accepted,csv,180.0,one row per record in file,domain primary identifiers,portfolio,validated,data/raw/generation_manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0013,supplier_performance,data/interim/accepted/supplier_performance.csv,accepted,csv,120.0,one row per record in file,domain primary identifiers,portfolio,validated,data/raw/generation_manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0014,warehouse_movements,data/interim/accepted/warehouse_movements.csv,accepted,csv,220.0,one row per record in file,domain primary identifiers,portfolio,validated,data/raw/generation_manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0015,equipment_health,data/interim/quarantine/equipment_health.jsonl,quarantine,jsonl,0.0,one row per record in file,domain primary identifiers,portfolio,validated,data/raw/generation_manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0016,inventory_levels,data/interim/quarantine/inventory_levels.jsonl,quarantine,jsonl,0.0,one row per record in file,domain primary identifiers,inventory,validated,outputs/inventory/inventory-manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0017,production_events,data/interim/quarantine/production_events.jsonl,quarantine,jsonl,0.0,one row per record in file,domain primary identifiers,portfolio,validated,data/raw/generation_manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0018,quality_checks,data/interim/quarantine/quality_checks.jsonl,quarantine,jsonl,0.0,one row per record in file,domain primary identifiers,quality,validated,outputs/quality/quality-manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0019,sales_orders,data/interim/quarantine/sales_orders.jsonl,quarantine,jsonl,0.0,one row per record in file,domain primary identifiers,portfolio,validated,data/raw/generation_manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0020,supplier_performance,data/interim/quarantine/supplier_performance.jsonl,quarantine,jsonl,0.0,one row per record in file,domain primary identifiers,portfolio,validated,data/raw/generation_manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0021,warehouse_movements,data/interim/quarantine/warehouse_movements.jsonl,quarantine,jsonl,0.0,one row per record in file,domain primary identifiers,portfolio,validated,data/raw/generation_manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0022,.gitkeep,data/processed/.gitkeep,documentation,text,,document,relative_path,portfolio,validated,data/raw/generation_manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0023,.gitkeep,data/raw/.gitkeep,raw,text,,document,domain primary identifiers,data_generation,validated,data/raw/generation_manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0024,equipment_health,data/raw/equipment_health.jsonl,raw,jsonl,504.0,one row per record in file,domain primary identifiers,data_generation,validated,data/raw/generation_manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0025,generation_manifest,data/raw/generation_manifest.json,raw,json,,document,domain primary identifiers,data_generation,validated,data/raw/generation_manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0026,generation_summary,data/raw/generation_summary.md,raw,md,,document,domain primary identifiers,data_generation,validated,data/raw/generation_manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0027,inventory_levels,data/raw/inventory_levels.csv,raw,csv,72.0,one row per record in file,domain primary identifiers,inventory,validated,outputs/inventory/inventory-manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0028,production_events,data/raw/production_events.jsonl,raw,jsonl,168.0,one row per record in file,domain primary identifiers,data_generation,validated,data/raw/generation_manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0029,quality_checks,data/raw/quality_checks.csv,raw,csv,168.0,one row per record in file,domain primary identifiers,quality,validated,outputs/quality/quality-manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0030,sales_orders,data/raw/sales_orders.csv,raw,csv,180.0,one row per record in file,domain primary identifiers,data_generation,validated,data/raw/generation_manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0031,schema_metadata,data/raw/schema_metadata.json,raw,json,,document,domain primary identifiers,data_generation,validated,data/raw/generation_manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0032,supplier_performance,data/raw/supplier_performance.csv,raw,csv,120.0,one row per record in file,domain primary identifiers,data_generation,validated,data/raw/generation_manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0033,warehouse_movements,data/raw/warehouse_movements.csv,raw,csv,220.0,one row per record in file,domain primary identifiers,data_generation,validated,data/raw/generation_manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0034,.gitkeep,outputs/.gitkeep,curated_output,text,,document,relative_path,portfolio,validated,data/raw/generation_manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0035,architecture-manifest,outputs/architecture/architecture-manifest.json,curated_output,json,,document,relative_path,architecture,validated,outputs/architecture/architecture-manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0036,architecture_decision_records,outputs/architecture/architecture_decision_records.json,curated_output,json,,document,relative_path,architecture,validated,outputs/architecture/architecture-manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0037,architecture_validation_results,outputs/architecture/architecture_validation_results.json,curated_output,json,,document,relative_path,architecture,validated,outputs/architecture/architecture-manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
