report_id,title,relative_path,domain,milestone,audience,purpose,key_topics,source_outputs,synthetic_data_flag,limitations
RPT-001,Azure Architecture Report,reports/azure_architecture_report.md,architecture,Cross-milestone,technical and portfolio reviewers,Summarise generated evidence and limitations.,architecture,outputs/architecture/architecture-manifest.json,synthetic_portfolio_sample,Local synthetic evidence only.
RPT-002,Cv Project Summary,reports/cv_project_summary.md,portfolio,Cross-milestone,technical and portfolio reviewers,Summarise generated evidence and limitations.,portfolio,data/raw/generation_manifest.json,synthetic_portfolio_sample,Local synthetic evidence only.
RPT-003,Dashboard Output Report,reports/dashboard_output_report.md,dashboard,Cross-milestone,technical and portfolio reviewers,Summarise generated evidence and limitations.,dashboard,outputs/dashboard/dashboard-manifest.json,synthetic_portfolio_sample,Local synthetic evidence only.
RPT-004,Data Quality Report,reports/data_quality_report.md,quality,Cross-milestone,technical and portfolio reviewers,Summarise generated evidence and limitations.,quality,outputs/quality/quality-manifest.json,synthetic_portfolio_sample,Local synthetic evidence only.
RPT-005,Demand Forecasting Report,reports/demand_forecasting_report.md,forecasting,Cross-milestone,technical and portfolio reviewers,Summarise generated evidence and limitations.,forecasting,outputs/forecasting/forecast-manifest.json,synthetic_portfolio_sample,Local synthetic evidence only.
RPT-006,Deployment Boundary Report,reports/deployment_boundary_report.md,portfolio,Cross-milestone,technical and portfolio reviewers,Summarise generated evidence and limitations.,portfolio,data/raw/generation_manifest.json,synthetic_portfolio_sample,Local synthetic evidence only.
RPT-007,Executive Manufacturing Brief,reports/executive_manufacturing_brief.md,portfolio,Cross-milestone,technical and portfolio reviewers,Summarise generated evidence and limitations.,portfolio,data/raw/generation_manifest.json,synthetic_portfolio_sample,Local synthetic evidence only.
RPT-008,Final Evidence Register,reports/final_evidence_register.md,portfolio,Cross-milestone,technical and portfolio reviewers,Summarise generated evidence and limitations.,portfolio,data/raw/generation_manifest.json,synthetic_portfolio_sample,Local synthetic evidence only.
RPT-009,Final Portfolio Summary,reports/final_portfolio_summary.md,portfolio,Cross-milestone,technical and portfolio reviewers,Summarise generated evidence and limitations.,portfolio,data/raw/generation_manifest.json,synthetic_portfolio_sample,Local synthetic evidence only.
RPT-010,Final Release Readiness Report,reports/final_release_readiness_report.md,release,Cross-milestone,technical and portfolio reviewers,Summarise generated evidence and limitations.,release,data/raw/generation_manifest.json,synthetic_portfolio_sample,Local synthetic evidence only.
RPT-011,Final Validation Report,reports/final_validation_report.md,portfolio,Cross-milestone,technical and portfolio reviewers,Summarise generated evidence and limitations.,portfolio,data/raw/generation_manifest.json,synthetic_portfolio_sample,Local synthetic evidence only.
RPT-012,Genai Guardrails Report,reports/genai_guardrails_report.md,genai,Cross-milestone,technical and portfolio reviewers,Summarise generated evidence and limitations.,genai,outputs/genai/genai-manifest.json,synthetic_portfolio_sample,Local synthetic evidence only.
RPT-013,Genai Operations Assistant Report,reports/genai_operations_assistant_report.md,genai,Cross-milestone,technical and portfolio reviewers,Summarise generated evidence and limitations.,genai,outputs/genai/genai-manifest.json,synthetic_portfolio_sample,Local synthetic evidence only.
RPT-014,Interview Talking Points,reports/interview_talking_points.md,portfolio,Cross-milestone,technical and portfolio reviewers,Summarise generated evidence and limitations.,portfolio,data/raw/generation_manifest.json,synthetic_portfolio_sample,Local synthetic evidence only.
RPT-015,Inventory Intelligence Report,reports/inventory_intelligence_report.md,inventory,Cross-milestone,technical and portfolio reviewers,Summarise generated evidence and limitations.,inventory,outputs/inventory/inventory-manifest.json,synthetic_portfolio_sample,Local synthetic evidence only.
RPT-016,Inventory Scenario Summary,reports/inventory_scenario_summary.md,inventory,Cross-milestone,technical and portfolio reviewers,Summarise generated evidence and limitations.,inventory,outputs/inventory/inventory-manifest.json,synthetic_portfolio_sample,Local synthetic evidence only.
RPT-017,Maintenance Alert Summary,reports/maintenance_alert_summary.md,maintenance,Cross-milestone,technical and portfolio reviewers,Summarise generated evidence and limitations.,maintenance,outputs/maintenance/maintenance-manifest.json,synthetic_portfolio_sample,Local synthetic evidence only.
RPT-018,Maintenance Analytics Report,reports/maintenance_analytics_report.md,maintenance,Cross-milestone,technical and portfolio reviewers,Summarise generated evidence and limitations.,maintenance,outputs/maintenance/maintenance-manifest.json,synthetic_portfolio_sample,Local synthetic evidence only.
RPT-019,Manufacturing Operations Report,reports/manufacturing_operations_report.md,portfolio,Cross-milestone,technical and portfolio reviewers,Summarise generated evidence and limitations.,portfolio,data/raw/generation_manifest.json,synthetic_portfolio_sample,Local synthetic evidence only.
RPT-020,Observability Summary,reports/observability_summary.md,portfolio,Cross-milestone,technical and portfolio reviewers,Summarise generated evidence and limitations.,portfolio,data/raw/generation_manifest.json,synthetic_portfolio_sample,Local synthetic evidence only.
RPT-021,Platform Monitoring Report,reports/platform_monitoring_report.md,monitoring,Cross-milestone,technical and portfolio reviewers,Summarise generated evidence and limitations.,monitoring,outputs/monitoring/monitoring-manifest.json,synthetic_portfolio_sample,Local synthetic evidence only.
RPT-022,Quality Alert Summary,reports/quality_alert_summary.md,quality,Cross-milestone,technical and portfolio reviewers,Summarise generated evidence and limitations.,quality,outputs/quality/quality-manifest.json,synthetic_portfolio_sample,Local synthetic evidence only.
RPT-023,Quality Analytics Report,reports/quality_analytics_report.md,quality,Cross-milestone,technical and portfolio reviewers,Summarise generated evidence and limitations.,quality,outputs/quality/quality-manifest.json,synthetic_portfolio_sample,Local synthetic evidence only.
RPT-024,Recruiter Readme Summary,reports/recruiter_readme_summary.md,portfolio,Cross-milestone,technical and portfolio reviewers,Summarise generated evidence and limitations.,portfolio,data/raw/generation_manifest.json,synthetic_portfolio_sample,Local synthetic evidence only.
RPT-025,Semantic Model Summary,reports/semantic_model_summary.md,portfolio,Cross-milestone,technical and portfolio reviewers,Summarise generated evidence and limitations.,portfolio,data/raw/generation_manifest.json,synthetic_portfolio_sample,Local synthetic evidence only.
RPT-026,Supply Chain Summary,reports/supply_chain_summary.md,portfolio,Cross-milestone,technical and portfolio reviewers,Summarise generated evidence and limitations.,portfolio,data/raw/generation_manifest.json,synthetic_portfolio_sample,Local synthetic evidence only.
