architecture_item_id,relative_path,item_type,domain,purpose,azure_reference_services,security_or_governance_relevance,deployment_status,limitations
ARCHITEM-001,docs/architecture/architecture-overview.md,markdown,architecture,"Reference architecture, boundary, policy, runbook, or blueprint evidence.",Azure reference architecture services,Documents reference-only controls and lineage.,reference_only,No Azure resources were deployed.
ARCHITEM-002,docs/architecture/azure-reference-architecture.md,markdown,architecture,"Reference architecture, boundary, policy, runbook, or blueprint evidence.",Azure reference architecture services,Documents reference-only controls and lineage.,reference_only,No Azure resources were deployed.
ARCHITEM-003,docs/architecture/azure-service-mapping.md,markdown,architecture,"Reference architecture, boundary, policy, runbook, or blueprint evidence.",Azure reference architecture services,Documents reference-only controls and lineage.,reference_only,No Azure resources were deployed.
ARCHITEM-004,docs/architecture/cost-management.md,markdown,architecture,"Reference architecture, boundary, policy, runbook, or blueprint evidence.",Azure reference architecture services,Documents reference-only controls and lineage.,reference_only,No Azure resources were deployed.
ARCHITEM-005,docs/architecture/data-architecture.md,markdown,architecture,"Reference architecture, boundary, policy, runbook, or blueprint evidence.","Azure Data Lake Storage Gen2, Microsoft Purview",Documents reference-only controls and lineage.,reference_only,No Azure resources were deployed.
ARCHITEM-006,docs/architecture/deployment-boundary.md,markdown,architecture,"Reference architecture, boundary, policy, runbook, or blueprint evidence.",Azure reference architecture services,Documents reference-only controls and lineage.,reference_only,No Azure resources were deployed.
ARCHITEM-007,docs/architecture/genai-architecture.md,markdown,architecture,"Reference architecture, boundary, policy, runbook, or blueprint evidence.","Azure AI Foundry, Azure OpenAI, Azure AI Search",Documents reference-only controls and lineage.,reference_only,No Azure resources were deployed.
ARCHITEM-008,docs/architecture/local-first-design.md,markdown,architecture,"Reference architecture, boundary, policy, runbook, or blueprint evidence.",Azure reference architecture services,Documents reference-only controls and lineage.,reference_only,No Azure resources were deployed.
ARCHITEM-009,docs/architecture/mlops-architecture.md,markdown,architecture,"Reference architecture, boundary, policy, runbook, or blueprint evidence.",Azure Machine Learning,Documents reference-only controls and lineage.,reference_only,No Azure resources were deployed.
ARCHITEM-010,docs/architecture/operations-architecture.md,markdown,architecture,"Reference architecture, boundary, policy, runbook, or blueprint evidence.",Azure reference architecture services,Documents reference-only controls and lineage.,reference_only,No Azure resources were deployed.
ARCHITEM-011,docs/architecture/security-architecture.md,markdown,architecture,"Reference architecture, boundary, policy, runbook, or blueprint evidence.","Microsoft Entra ID, Azure Key Vault",Documents reference-only controls and lineage.,reference_only,No Azure resources were deployed.
ARCHITEM-012,diagrams/azure-data-flow.mmd,mermaid,portfolio,"Reference architecture, boundary, policy, runbook, or blueprint evidence.","Azure Data Lake Storage Gen2, Microsoft Purview",Documents reference-only controls and lineage.,reference_only,No Azure resources were deployed.
ARCHITEM-013,diagrams/azure-genai-flow.mmd,mermaid,genai,"Reference architecture, boundary, policy, runbook, or blueprint evidence.","Azure AI Foundry, Azure OpenAI, Azure AI Search",Documents reference-only controls and lineage.,reference_only,No Azure resources were deployed.
ARCHITEM-014,diagrams/azure-mlops-flow.mmd,mermaid,portfolio,"Reference architecture, boundary, policy, runbook, or blueprint evidence.",Azure Machine Learning,Documents reference-only controls and lineage.,reference_only,No Azure resources were deployed.
ARCHITEM-015,diagrams/azure-monitoring-flow.mmd,mermaid,monitoring,"Reference architecture, boundary, policy, runbook, or blueprint evidence.","Azure Monitor, Log Analytics",Documents reference-only controls and lineage.,reference_only,No Azure resources were deployed.
ARCHITEM-016,diagrams/azure-reference-architecture.mmd,mermaid,architecture,"Reference architecture, boundary, policy, runbook, or blueprint evidence.",Azure reference architecture services,Documents reference-only controls and lineage.,reference_only,No Azure resources were deployed.
ARCHITEM-017,diagrams/azure-security-boundary.mmd,mermaid,portfolio,"Reference architecture, boundary, policy, runbook, or blueprint evidence.","Microsoft Entra ID, Azure Key Vault",Documents reference-only controls and lineage.,reference_only,No Azure resources were deployed.
ARCHITEM-018,diagrams/data-lifecycle.mmd,mermaid,portfolio,"Reference architecture, boundary, policy, runbook, or blueprint evidence.","Azure Data Lake Storage Gen2, Microsoft Purview",Documents reference-only controls and lineage.,reference_only,No Azure resources were deployed.
ARCHITEM-019,diagrams/high-level-platform-architecture.mmd,mermaid,architecture,"Reference architecture, boundary, policy, runbook, or blueprint evidence.",Azure reference architecture services,Documents reference-only controls and lineage.,reference_only,No Azure resources were deployed.
ARCHITEM-020,infra/README.md,markdown,portfolio,"Reference architecture, boundary, policy, runbook, or blueprint evidence.",Azure reference architecture services,Documents reference-only controls and lineage.,reference_only,No Azure resources were deployed.
