evidence_id,domain,evidence_type,relative_path,title,description,row_count,file_size,sha256,synthetic_data_flag,upstream_run_id,related_manifest,related_lineage,freshness_label,supported_question_types,key_metrics
EVID-001-generation-manifest,generation,manifest,data/raw/generation_manifest.json,Synthetic generation manifest,Controlled generation manifest for synthetic manufacturing operations. Key metrics: pipeline_name=synthetic_data_generation.,,2865,0c449c26e4e919847a76b4e31e3ec2ab5dc603fc95e4dd01e1a9d5a5dbcd90e0,True,synthetic-b46d0952ec38e781,data/raw/generation_manifest.json,,controlled_static_evidence,"['executive_summary', 'data_quality', 'lineage']",{'pipeline_name': 'synthetic_data_generation'}
EVID-002-generation-json_output,generation,json_output,data/raw/schema_metadata.json,Synthetic schema metadata,Controlled generation json_output for synthetic manufacturing operations.,,15491,fb16d439dc187caf56619219ed03da43167a7e73e779502ed11b211eec4886af,True,,data/raw/generation_manifest.json,,controlled_static_evidence,"['executive_summary', 'data_quality', 'lineage']",{}
EVID-003-ingestion-manifest,ingestion,manifest,data/interim/_metadata/ingestion-manifest.json,Governed ingestion manifest,"Controlled ingestion manifest for synthetic manufacturing operations. Key metrics: error_count=0, pipeline_name=governed_ingestion, quarantine_rate=0.0, validation_status=success.",,5633,ed8d1b02e8825556caffd57e1b0db260c3375147cf86593e7564ac2760ea6035,True,INGEST-da9a11a67abc6a18,data/interim/_metadata/ingestion-manifest.json,data/interim/_metadata/lineage-records.json,controlled_static_evidence,"['executive_summary', 'data_quality', 'lineage']","{'validation_status': 'success', 'quarantine_rate': 0.0, 'warning_count': 0, 'error_count': 0, 'pipeline_name': 'governed_ingestion'}"
EVID-004-ingestion-diagnostics,ingestion,diagnostics,data/interim/_metadata/validation-summary.json,Validation summary,"Controlled ingestion diagnostics for synthetic manufacturing operations. Key metrics: quarantine_rate=0.0, validation_status=success.",,1385,75c177265f9a95629daef31e8799b883b02605b000094228ec8d560e4ed5d385,True,INGEST-da9a11a67abc6a18,data/interim/_metadata/ingestion-manifest.json,data/interim/_metadata/lineage-records.json,controlled_static_evidence,"['executive_summary', 'data_quality', 'lineage']","{'validation_status': 'success', 'quarantine_rate': 0.0}"
EVID-005-ingestion-diagnostics,ingestion,diagnostics,data/interim/_metadata/data-quality-report.json,Data quality JSON report,Controlled ingestion diagnostics for synthetic manufacturing operations. Key metrics: validation_status=success.,,7188,f4a8229c1030ce572c132f14aa00daebf3f04f4ca1d1a5cc7ec314b5d9b66406,True,INGEST-da9a11a67abc6a18,data/interim/_metadata/ingestion-manifest.json,data/interim/_metadata/lineage-records.json,controlled_static_evidence,"['executive_summary', 'data_quality', 'lineage']",{'validation_status': 'success'}
EVID-006-ingestion-markdown_report,ingestion,markdown_report,reports/data_quality_report.md,Data quality report,Controlled ingestion markdown_report for synthetic manufacturing operations.,,738,f1b42ca4abfc62af7de59d9e296b50a1266e163689d5616fc0c3b067a6085c9e,True,,data/interim/_metadata/ingestion-manifest.json,data/interim/_metadata/lineage-records.json,controlled_static_evidence,"['executive_summary', 'data_quality', 'lineage']",{}
EVID-007-ingestion-lineage,ingestion,lineage,data/interim/_metadata/lineage-records.json,Ingestion lineage records,Controlled ingestion lineage for synthetic manufacturing operations. Key metrics: records=7.,,7451,cb4d9f2ddf23e24f008d663e0c817f6f2be311fbdf2376d0f42a2cc7fb388838,True,,data/interim/_metadata/ingestion-manifest.json,data/interim/_metadata/lineage-records.json,controlled_static_evidence,"['executive_summary', 'data_quality', 'lineage']",{'records': 7}
EVID-008-forecasting-manifest,forecasting,manifest,outputs/forecasting/forecast-manifest.json,Forecast manifest,"Controlled forecasting manifest for synthetic manufacturing operations. Key metrics: pipeline_name=demand_forecasting, validation_status=success.",,4827,d384ecbd3007a0a2a65988a65f38f1ed076107c0b89b12cf068cac60c4ef52c9,True,FORECAST-6357daf22de3ea43,outputs/forecasting/forecast-manifest.json,outputs/forecasting/lineage-records.json,controlled_static_evidence,"['executive_summary', 'forecasting']","{'validation_status': 'success', 'pipeline_name': 'demand_forecasting'}"
EVID-009-forecasting-csv_output,forecasting,csv_output,outputs/demand_forecast.csv,Demand forecast output,"Controlled forecasting csv_output for synthetic manufacturing operations. Key metrics: columns=14, rows=56.",56.000000,9670,44c8bc06fa4791868aeeb33e6fd2edfa02e797d52c475bc69e803b017bdb99d8,True,,outputs/forecasting/forecast-manifest.json,outputs/forecasting/lineage-records.json,controlled_static_evidence,"['executive_summary', 'forecasting']","{'rows': 56, 'columns': 14}"
EVID-010-forecasting-markdown_report,forecasting,markdown_report,reports/demand_forecasting_report.md,Demand forecasting report,Controlled forecasting markdown_report for synthetic manufacturing operations.,,1200,b46ddfbb5ebaa533b81be4d0acf06e85dff07ada0d440632c8f7f0894b51b2c7,True,,outputs/forecasting/forecast-manifest.json,outputs/forecasting/lineage-records.json,controlled_static_evidence,"['executive_summary', 'forecasting']",{}
EVID-011-forecasting-lineage,forecasting,lineage,outputs/forecasting/lineage-records.json,Forecast lineage records,Controlled forecasting lineage for synthetic manufacturing operations. Key metrics: records=11.,,8455,f8a2f6e5f79b05f94ab57cdc912aa1cdc37a29efaec2f4a408e82f94b63fbced,True,,outputs/forecasting/forecast-manifest.json,outputs/forecasting/lineage-records.json,controlled_static_evidence,"['executive_summary', 'forecasting']",{'records': 11}
EVID-012-inventory-manifest,inventory,manifest,outputs/inventory/inventory-manifest.json,Inventory manifest,"Controlled inventory manifest for synthetic manufacturing operations. Key metrics: pipeline_name=inventory_intelligence, validation_status=success.",,7546,0583c861e5c832323d62e404204f27ae23d052dad56b441e6be86c4cb5d022ee,True,INVENTORY-5a5cc7e83afe8502,outputs/inventory/inventory-manifest.json,outputs/inventory/lineage-records.json,controlled_static_evidence,"['executive_summary', 'inventory']","{'validation_status': 'success', 'pipeline_name': 'inventory_intelligence'}"
EVID-013-inventory-csv_output,inventory,csv_output,outputs/inventory_scores.csv,Inventory risk scores,"Controlled inventory csv_output for synthetic manufacturing operations. Key metrics: columns=88, rows=72.",72.000000,65992,c982dcaf7cd034148c08d3f4f5f4a64f8d117e771b49fc750a7047c00b7cc859,True,,outputs/inventory/inventory-manifest.json,outputs/inventory/lineage-records.json,controlled_static_evidence,"['executive_summary', 'inventory']","{'rows': 72, 'columns': 88}"
EVID-014-inventory-markdown_report,inventory,markdown_report,reports/inventory_intelligence_report.md,Inventory intelligence report,Controlled inventory markdown_report for synthetic manufacturing operations.,,2753,e7a5a3147666fc8da523fc86a5778b1d8bfb07a83e7b8710d8c950dd307c817f,True,,outputs/inventory/inventory-manifest.json,outputs/inventory/lineage-records.json,controlled_static_evidence,"['executive_summary', 'inventory']",{}
EVID-015-inventory-lineage,inventory,lineage,outputs/inventory/lineage-records.json,Inventory lineage records,Controlled inventory lineage for synthetic manufacturing operations. Key metrics: records=13.,,24507,6caeda1ffb886344b7b2f98226d5319d0c9dc2b2c96a27f6b5563ee23cdc4bdc,True,,outputs/inventory/inventory-manifest.json,outputs/inventory/lineage-records.json,controlled_static_evidence,"['executive_summary', 'inventory']",{'records': 13}
EVID-016-quality-manifest,quality,manifest,outputs/quality/quality-manifest.json,Quality analytics manifest,"Controlled quality manifest for synthetic manufacturing operations. Key metrics: pipeline_name=quality_analytics, validation_status=success.",,6906,43513e01d755a6c861e0a53fd414baef88b6580bc0aaa480d41a6c446d7958bf,True,QUALITY-ea15caf8c05763b0,outputs/quality/quality-manifest.json,outputs/quality/lineage-records.json,controlled_static_evidence,"['executive_summary', 'quality']","{'validation_status': 'success', 'pipeline_name': 'quality_analytics'}"
EVID-017-quality-csv_output,quality,csv_output,outputs/quality_alerts.csv,Quality alerts,"Controlled quality csv_output for synthetic manufacturing operations. Key metrics: columns=30, rows=38.",38.000000,21959,36a15ebb31519685fa717e5581af27ca246f1ced09ebf50001b7d05873b2b89f,True,,outputs/quality/quality-manifest.json,outputs/quality/lineage-records.json,controlled_static_evidence,"['executive_summary', 'quality']","{'rows': 38, 'columns': 30}"
EVID-018-quality-markdown_report,quality,markdown_report,reports/quality_analytics_report.md,Quality analytics report,Controlled quality markdown_report for synthetic manufacturing operations.,,2646,21a4617fd8186ac74d34e228a41a4149db80a5ef3a6caf0fc3362187a2a41a5a,True,,outputs/quality/quality-manifest.json,outputs/quality/lineage-records.json,controlled_static_evidence,"['executive_summary', 'quality']",{}
EVID-019-quality-lineage,quality,lineage,outputs/quality/lineage-records.json,Quality lineage records,Controlled quality lineage for synthetic manufacturing operations. Key metrics: records=14.,,16869,6478cf8dc97c95c54a216df9f70dd77a27970f2e182b80e281ad7da7624064d6,True,,outputs/quality/quality-manifest.json,outputs/quality/lineage-records.json,controlled_static_evidence,"['executive_summary', 'quality']",{'records': 14}
EVID-020-maintenance-manifest,maintenance,manifest,outputs/maintenance/maintenance-manifest.json,Maintenance manifest,"Controlled maintenance manifest for synthetic manufacturing operations. Key metrics: pipeline_name=predictive_maintenance, validation_status=success.",,7634,51d844609ce656de67b57094644b5b5824ec0dceb0bb28a856e6e00e40d37a1b,True,MAINT-f281a27e7d014de8,outputs/maintenance/maintenance-manifest.json,outputs/maintenance/lineage-records.json,controlled_static_evidence,"['executive_summary', 'maintenance']","{'validation_status': 'success', 'pipeline_name': 'predictive_maintenance'}"
