genai_item_id,item_type,relative_path,capability,evidence_grounding,guardrail_relevance,evaluation_relevance,external_model_called,deployment_status,limitations
GENAI-001,csv,outputs/genai/assistant_evaluation.csv,grounded deterministic assistant evidence,governed local evidence catalogue,guardrails and refusal paths documented,assistant evaluation outputs available,false,local_reference_only,No OpenAI or Azure OpenAI call.
GENAI-002,json,outputs/genai/assistant_evaluation_summary.json,grounded deterministic assistant evidence,governed local evidence catalogue,guardrails and refusal paths documented,assistant evaluation outputs available,false,local_reference_only,No OpenAI or Azure OpenAI call.
GENAI-003,json,outputs/genai/assistant_responses.json,grounded deterministic assistant evidence,governed local evidence catalogue,guardrails and refusal paths documented,assistant evaluation outputs available,false,local_reference_only,No OpenAI or Azure OpenAI call.
GENAI-004,markdown,outputs/genai/assistant_responses.md,grounded deterministic assistant evidence,governed local evidence catalogue,guardrails and refusal paths documented,assistant evaluation outputs available,false,local_reference_only,No OpenAI or Azure OpenAI call.
GENAI-005,csv,outputs/genai/evidence_catalog.csv,grounded deterministic assistant evidence,governed local evidence catalogue,guardrails and refusal paths documented,assistant evaluation outputs available,false,local_reference_only,No OpenAI or Azure OpenAI call.
GENAI-006,json,outputs/genai/evidence_catalog.json,grounded deterministic assistant evidence,governed local evidence catalogue,guardrails and refusal paths documented,assistant evaluation outputs available,false,local_reference_only,No OpenAI or Azure OpenAI call.
GENAI-007,json,outputs/genai/genai-manifest.json,grounded deterministic assistant evidence,governed local evidence catalogue,guardrails and refusal paths documented,assistant evaluation outputs available,false,local_reference_only,No OpenAI or Azure OpenAI call.
GENAI-008,json,outputs/genai/genai_diagnostics.json,grounded deterministic assistant evidence,governed local evidence catalogue,guardrails and refusal paths documented,assistant evaluation outputs available,false,local_reference_only,No OpenAI or Azure OpenAI call.
GENAI-009,json,outputs/genai/guardrail_results.json,grounded deterministic assistant evidence,governed local evidence catalogue,guardrails and refusal paths documented,assistant evaluation outputs available,false,local_reference_only,No OpenAI or Azure OpenAI call.
GENAI-010,json,outputs/genai/lineage-records.json,grounded deterministic assistant evidence,governed local evidence catalogue,guardrails and refusal paths documented,assistant evaluation outputs available,false,local_reference_only,No OpenAI or Azure OpenAI call.
GENAI-011,json,outputs/genai/prompt_templates.json,grounded deterministic assistant evidence,governed local evidence catalogue,guardrails and refusal paths documented,assistant evaluation outputs available,false,local_reference_only,No OpenAI or Azure OpenAI call.
GENAI-012,json,outputs/genai/rendered_prompts.json,grounded deterministic assistant evidence,governed local evidence catalogue,guardrails and refusal paths documented,assistant evaluation outputs available,false,local_reference_only,No OpenAI or Azure OpenAI call.
GENAI-013,json,outputs/genai/retrieval_results.json,grounded deterministic assistant evidence,governed local evidence catalogue,guardrails and refusal paths documented,assistant evaluation outputs available,false,local_reference_only,No OpenAI or Azure OpenAI call.
GENAI-014,markdown,reports/genai_guardrails_report.md,grounded deterministic assistant evidence,governed local evidence catalogue,guardrails and refusal paths documented,assistant evaluation outputs available,false,local_reference_only,No OpenAI or Azure OpenAI call.
GENAI-015,markdown,reports/genai_operations_assistant_report.md,grounded deterministic assistant evidence,governed local evidence catalogue,guardrails and refusal paths documented,assistant evaluation outputs available,false,local_reference_only,No OpenAI or Azure OpenAI call.
