platform_capability,local_artefact,azure_service,service_role,reference_architecture_layer,deployment_status,security_controls,governance_controls,monitoring_controls,cost_considerations,limitations,synthetic_data_flag
telemetry ingestion,data/raw/production_events.jsonl,Azure Event Hubs,Future event ingress for production and equipment telemetry.,ingestion,reference_only,"Private endpoint, managed identity, RBAC, no shared keys.",Purview source registration as future production control.,Azure Monitor metrics and dead-letter alerting.,"Throughput units, retention, and event volume.",Local JSONL files only; no broker is deployed.,synthetic_portfolio_sample
raw and curated storage,"data/raw/, data/interim/, outputs/",Azure Data Lake Storage Gen2,"Future raw, accepted, curated, evidence, and report zones.",storage,reference_only,"Hierarchical namespace, private endpoint, ACLs, CMK option.","Zone naming, retention policy, Purview scan plan.",Storage diagnostics and access audit logs.,"Capacity, transactions, redundancy, lifecycle policies.",Repository files remain local and synthetic.,synthetic_portfolio_sample
streaming analytics,data/raw/equipment_health.jsonl,Azure Stream Analytics,Future stream transformations and windowed quality checks.,streaming,reference_only,Managed identity outputs and private network paths.,Documented query ownership and schema contracts.,"Job metrics, late input events, and failed outputs.",Streaming units and continuous runtime.,No streaming job is created.,synthetic_portfolio_sample
operational telemetry analytics,outputs/monitoring/,Azure Data Explorer,Future telemetry serving for quality and maintenance signals.,analytics,reference_only,"RBAC, table-level access, private endpoint.",Schema mapping and retention classification.,Ingestion failures and query performance.,"Cluster size, cache policy, retention.",No cluster or database is created.,synthetic_portfolio_sample
analytical serving,outputs/dashboard/,Azure Synapse Analytics or Microsoft Fabric,Future curated serving and semantic model integration.,serving,reference_only,"Workspace RBAC, managed identity, private networking.",Certified semantic model and lineage metadata.,Refresh and warehouse workload metrics.,"Capacity, warehouse compute, refresh frequency.",Only local CSV and JSON dashboard artefacts exist.,synthetic_portfolio_sample
demand forecasting,outputs/forecasting/,Azure Machine Learning,"Future batch training, evaluation, model registry, and scoring.",mlops,reference_only,"Workspace isolation, managed identity, registry RBAC.","Model cards, lineage, and approval gates.",Forecast error and drift metrics.,Compute clusters and batch scoring frequency.,No AML workspace or model endpoint exists.,synthetic_portfolio_sample
inventory scoring,outputs/inventory/,Azure Machine Learning batch jobs,Future scheduled scoring for inventory risk and allocation.,mlops,reference_only,Least-privilege data access and job identity.,Policy versioning and scenario traceability.,Score distribution and recommendation volume.,Batch compute and storage reads.,Rules run locally only.,synthetic_portfolio_sample
quality analytics,outputs/quality/,Azure Data Explorer and Azure Machine Learning,"Future SPC analytics, anomaly scoring, and defect exploration.",analytics_ml,reference_only,Private endpoints and data-product RBAC.,Quality metric glossary and lineage.,Alert rates and anomaly drift.,Cluster/runtime and batch scoring compute.,Local static outputs only.,synthetic_portfolio_sample
predictive maintenance,outputs/maintenance/,Azure Data Explorer and Azure Machine Learning,Future equipment telemetry features and failure-risk scoring.,analytics_ml,reference_only,Scoped machine telemetry access and audit logs.,Maintenance signal definitions and lineage.,Anomaly volume and risk-score distribution.,"Telemetry retention, ADX cache, AML compute.",No IoT integration or deployed model.,synthetic_portfolio_sample
platform monitoring,outputs/monitoring/platform_health_summary.json,Azure Monitor and Log Analytics,"Future logs, metrics, workbooks, and alert rules.",operations,reference_only,"Workspace RBAC, data collection rules, retention controls.",Alert taxonomy and evidence integrity logs.,"Domain health, pipeline status, and evidence freshness.","Log ingestion, retention, query volume, alert rules.",No live telemetry stream exists.,synthetic_portfolio_sample
GenAI assistant,outputs/genai/,"Azure AI Foundry, Azure OpenAI Service, Azure AI Search",Future grounded assistant orchestration and retrieval.,genai,planned,"Private networking, content filtering, managed identity.","Prompt registry, citations, evaluation, usage policy.","Grounding quality, refusal rates, latency, cost.","Token usage, search indexing, evaluation jobs.",Current assistant is deterministic and local; no LLM call.,synthetic_portfolio_sample
dashboard reporting,outputs/dashboard/,Power BI and Microsoft Fabric semantic model,Future operational dashboards and certified semantic layer.,reporting,reference_only,"Workspace roles, row-level security, sensitivity labels.","Certified dataset, metric catalogue, lineage.","Refresh failures, usage metrics, semantic model health.",Fabric/Power BI capacity and refresh cadence.,"No .pbix, workspace, or Fabric item is generated.",synthetic_portfolio_sample
governance and catalogue,lineage-records.json and manifests,Microsoft Purview,"Future catalogue, glossary, classification, and lineage.",governance,reference_only,Purview roles and scan credential isolation.,Business glossary and lineage mapping.,Scan status and classification coverage.,Data map capacity and scanning frequency.,No Purview registration or scan occurs.,synthetic_portfolio_sample
secrets management,configs/,Azure Key Vault,"Future central store for secrets, keys, and certificates.",security,reference_only,"RBAC, private endpoint, soft delete, purge protection.",Secret rotation policy and access review.,Audit events and access anomalies.,Operations and key transaction volume.,Portfolio configs contain no secrets.,synthetic_portfolio_sample
identity and access,docs/architecture/security-architecture.md,Microsoft Entra ID,Future identity provider for users and managed workloads.,security,reference_only,"Conditional access, groups, managed identities, RBAC.",Access reviews and privileged role process.,Sign-in and audit logs.,Premium identity features where required.,"No tenant, principal, or group is created.",synthetic_portfolio_sample
