azure_item_id,item_type,relative_path,azure_service,platform_capability,reference_layer,security_relevance,governance_relevance,deployment_status,limitations
AZREF-001,json,outputs/architecture/architecture-manifest.json,Azure reference architecture services,architecture,reference architecture,documents least-privilege and no-secret boundaries,"maps lineage, evidence, and catalogue responsibilities",reference_only,Blueprint only; not deployed.
AZREF-002,json,outputs/architecture/architecture_decision_records.json,Azure reference architecture services,architecture,reference architecture,documents least-privilege and no-secret boundaries,"maps lineage, evidence, and catalogue responsibilities",reference_only,Blueprint only; not deployed.
AZREF-003,json,outputs/architecture/architecture_validation_results.json,Azure reference architecture services,architecture,reference architecture,documents least-privilege and no-secret boundaries,"maps lineage, evidence, and catalogue responsibilities",reference_only,Blueprint only; not deployed.
AZREF-004,csv,outputs/architecture/azure_service_mapping.csv,Azure reference architecture services,architecture,reference architecture,documents least-privilege and no-secret boundaries,"maps lineage, evidence, and catalogue responsibilities",reference_only,Blueprint only; not deployed.
AZREF-005,json,outputs/architecture/azure_service_mapping.json,Azure reference architecture services,architecture,reference architecture,documents least-privilege and no-secret boundaries,"maps lineage, evidence, and catalogue responsibilities",reference_only,Blueprint only; not deployed.
AZREF-006,csv,outputs/architecture/cost_considerations.csv,Azure reference architecture services,architecture,reference architecture,documents least-privilege and no-secret boundaries,"maps lineage, evidence, and catalogue responsibilities",reference_only,Blueprint only; not deployed.
AZREF-007,csv,outputs/architecture/data_architecture_layers.csv,"Azure Data Lake Storage Gen2, Microsoft Purview",architecture,reference architecture,documents least-privilege and no-secret boundaries,"maps lineage, evidence, and catalogue responsibilities",reference_only,Blueprint only; not deployed.
AZREF-008,csv,outputs/architecture/genai_architecture_mapping.csv,"Azure AI Foundry, Azure OpenAI, Azure AI Search",architecture,reference architecture,documents least-privilege and no-secret boundaries,"maps lineage, evidence, and catalogue responsibilities",reference_only,Blueprint only; not deployed.
AZREF-009,json,outputs/architecture/lineage-records.json,Azure reference architecture services,architecture,reference architecture,documents least-privilege and no-secret boundaries,"maps lineage, evidence, and catalogue responsibilities",reference_only,Blueprint only; not deployed.
AZREF-010,csv,outputs/architecture/mlops_mapping.csv,Azure Machine Learning,architecture,reference architecture,documents least-privilege and no-secret boundaries,"maps lineage, evidence, and catalogue responsibilities",reference_only,Blueprint only; not deployed.
AZREF-011,csv,outputs/architecture/operations_mapping.csv,Azure reference architecture services,architecture,reference architecture,documents least-privilege and no-secret boundaries,"maps lineage, evidence, and catalogue responsibilities",reference_only,Blueprint only; not deployed.
AZREF-012,csv,outputs/architecture/security_controls_matrix.csv,"Microsoft Entra ID, Azure Key Vault",architecture,reference architecture,documents least-privilege and no-secret boundaries,"maps lineage, evidence, and catalogue responsibilities",reference_only,Blueprint only; not deployed.
AZREF-013,markdown,infra/README.md,Azure reference architecture services,portfolio,reference architecture,documents least-privilege and no-secret boundaries,"maps lineage, evidence, and catalogue responsibilities",reference_only,Blueprint only; not deployed.
AZREF-014,iac_blueprint,infra/bicep/main.bicep,Azure reference architecture services,portfolio,reference architecture,documents least-privilege and no-secret boundaries,"maps lineage, evidence, and catalogue responsibilities",reference_only,Blueprint only; not deployed.
AZREF-015,iac_blueprint,infra/bicep/modules/ai-services.bicep,Azure reference architecture services,portfolio,reference architecture,documents least-privilege and no-secret boundaries,"maps lineage, evidence, and catalogue responsibilities",reference_only,Blueprint only; not deployed.
AZREF-016,iac_blueprint,infra/bicep/modules/analytics.bicep,Azure reference architecture services,portfolio,reference architecture,documents least-privilege and no-secret boundaries,"maps lineage, evidence, and catalogue responsibilities",reference_only,Blueprint only; not deployed.
AZREF-017,iac_blueprint,infra/bicep/modules/dashboards.bicep,"Power BI, Microsoft Fabric",dashboard,reference architecture,documents least-privilege and no-secret boundaries,"maps lineage, evidence, and catalogue responsibilities",reference_only,Blueprint only; not deployed.
AZREF-018,iac_blueprint,infra/bicep/modules/event-hubs.bicep,Azure reference architecture services,portfolio,reference architecture,documents least-privilege and no-secret boundaries,"maps lineage, evidence, and catalogue responsibilities",reference_only,Blueprint only; not deployed.
