evidence_id,milestone,domain,artefact_type,relative_path,title,description,row_count,file_size,sha256,source_manifest,source_lineage,validation_target,portfolio_relevance,interview_relevance,synthetic_data_flag,deployment_status
EVID-0001,Cross-milestone,dashboard,markdown,dashboard/README.md,Readme,Tracked portfolio evidence for dashboard.,,295,c39a49faff6f1014bfe521a7c0fd89d0e542cca8533d5bc992fcc8c11b135a44,outputs/dashboard/dashboard-manifest.json,outputs/dashboard/lineage-records.json,make validate-dashboard,Demonstrates completed local-first milestone evidence.,Use as concrete proof of reproducible implementation.,synthetic_portfolio_sample,local_reference_only
EVID-0002,Cross-milestone,dashboard,markdown,dashboard/dashboard_index.md,Dashboard Index,Tracked portfolio evidence for dashboard.,,100,53d7a36b44134974fddc2710f177c35dc6043f1b2eabff94f509f52405d2cb8f,outputs/dashboard/dashboard-manifest.json,outputs/dashboard/lineage-records.json,make validate-dashboard,Demonstrates completed local-first milestone evidence.,Use as concrete proof of reproducible implementation.,synthetic_portfolio_sample,local_reference_only
EVID-0003,Cross-milestone,dashboard,markdown,dashboard/powerbi_ready_outputs.md,Powerbi Ready Outputs,Tracked portfolio evidence for dashboard.,,103,f96420437e2a346cab82eac0d5f07c75bc05450074298156ae1f0bfad0fbd793,outputs/dashboard/dashboard-manifest.json,outputs/dashboard/lineage-records.json,make validate-dashboard,Demonstrates completed local-first milestone evidence.,Use as concrete proof of reproducible implementation.,synthetic_portfolio_sample,local_reference_only
EVID-0004,Cross-milestone,dashboard,markdown,dashboard/semantic_model_notes.md,Semantic Model Notes,Tracked portfolio evidence for dashboard.,,229,1ba51956f22a5c65c2582d7fe7c57ac1eb44cc670085a68007949728c83d489f,outputs/dashboard/dashboard-manifest.json,outputs/dashboard/lineage-records.json,make validate-dashboard,Demonstrates completed local-first milestone evidence.,Use as concrete proof of reproducible implementation.,synthetic_portfolio_sample,local_reference_only
EVID-0005,Cross-milestone,portfolio,markdown,data/README.md,Readme,Tracked portfolio evidence for portfolio.,,10035,18f5f206b9438a8b584489228cd3055c27f4629278020d4e5da802f7ec68f134,data/raw/generation_manifest.json,data/raw/generation_manifest.json,make quality,Demonstrates completed local-first milestone evidence.,Use as concrete proof of reproducible implementation.,synthetic_portfolio_sample,local_reference_only
EVID-0006,Milestone 3,portfolio,file,data/interim/.gitkeep,.Gitkeep,Tracked portfolio evidence for portfolio.,,1,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,data/raw/generation_manifest.json,data/raw/generation_manifest.json,make quality,Demonstrates completed local-first milestone evidence.,Use as concrete proof of reproducible implementation.,synthetic_portfolio_sample,local_reference_only
EVID-0007,Milestone 3,quality,json,data/interim/_metadata/data-quality-report.json,Data Quality Report,Tracked portfolio evidence for quality.,,7188,f4a8229c1030ce572c132f14aa00daebf3f04f4ca1d1a5cc7ec314b5d9b66406,outputs/quality/quality-manifest.json,outputs/quality/lineage-records.json,make validate-quality-analytics,Demonstrates completed local-first milestone evidence.,Use as concrete proof of reproducible implementation.,synthetic_portfolio_sample,local_reference_only
EVID-0008,Milestone 3,ingestion,json,data/interim/_metadata/ingestion-manifest.json,Ingestion Manifest,Tracked portfolio evidence for ingestion.,,5633,ed8d1b02e8825556caffd57e1b0db260c3375147cf86593e7564ac2760ea6035,data/interim/_metadata/ingestion-manifest.json,data/interim/_metadata/lineage-records.json,make validate-ingestion,Demonstrates completed local-first milestone evidence.,Use as concrete proof of reproducible implementation.,synthetic_portfolio_sample,local_reference_only
EVID-0009,Milestone 3,portfolio,json,data/interim/_metadata/lineage-records.json,Lineage Records,Tracked portfolio evidence for portfolio.,,7451,cb4d9f2ddf23e24f008d663e0c817f6f2be311fbdf2376d0f42a2cc7fb388838,data/raw/generation_manifest.json,data/raw/generation_manifest.json,make quality,Demonstrates completed local-first milestone evidence.,Use as concrete proof of reproducible implementation.,synthetic_portfolio_sample,local_reference_only
EVID-0010,Milestone 3,portfolio,json,data/interim/_metadata/quarantine-summary.json,Quarantine Summary,Tracked portfolio evidence for portfolio.,,476,cf1fb3e66e7d3cfad742b01dbb7705158658a6b57929775eda102ae56f6788e2,data/raw/generation_manifest.json,data/raw/generation_manifest.json,make quality,Demonstrates completed local-first milestone evidence.,Use as concrete proof of reproducible implementation.,synthetic_portfolio_sample,local_reference_only
EVID-0011,Milestone 3,portfolio,json,data/interim/_metadata/validation-summary.json,Validation Summary,Tracked portfolio evidence for portfolio.,,1385,75c177265f9a95629daef31e8799b883b02605b000094228ec8d560e4ed5d385,data/raw/generation_manifest.json,data/raw/generation_manifest.json,make quality,Demonstrates completed local-first milestone evidence.,Use as concrete proof of reproducible implementation.,synthetic_portfolio_sample,local_reference_only
EVID-0012,Milestone 3,portfolio,json,data/interim/accepted/equipment_health.jsonl,Equipment Health,Tracked portfolio evidence for portfolio.,504.0,260611,b40760fcbc55ea3864d65c486b93717958e702ee975041296a6d1c28368c44b1,data/raw/generation_manifest.json,data/raw/generation_manifest.json,make quality,Demonstrates completed local-first milestone evidence.,Use as concrete proof of reproducible implementation.,synthetic_portfolio_sample,local_reference_only
EVID-0013,Milestone 3,inventory,csv,data/interim/accepted/inventory_levels.csv,Inventory Levels,Tracked portfolio evidence for inventory.,72.0,6573,dcf350befc3fd06b3545b23c852230eacb2b82b870dd17a60de4111af4dc63eb,outputs/inventory/inventory-manifest.json,outputs/inventory/lineage-records.json,make validate-inventory,Demonstrates completed local-first milestone evidence.,Use as concrete proof of reproducible implementation.,synthetic_portfolio_sample,local_reference_only
EVID-0014,Milestone 3,portfolio,json,data/interim/accepted/production_events.jsonl,Production Events,Tracked portfolio evidence for portfolio.,168.0,94769,d080144473f757c435a5f2f1151001f1cd7de3b1ed44a7ed53680b074d975483,data/raw/generation_manifest.json,data/raw/generation_manifest.json,make quality,Demonstrates completed local-first milestone evidence.,Use as concrete proof of reproducible implementation.,synthetic_portfolio_sample,local_reference_only
EVID-0015,Milestone 3,quality,csv,data/interim/accepted/quality_checks.csv,Quality Checks,Tracked portfolio evidence for quality.,168.0,25900,7aa6d5f6bbd0b21c0065ee4452008a93eff82d9f9cc572d0b836df18b94422de,outputs/quality/quality-manifest.json,outputs/quality/lineage-records.json,make validate-quality-analytics,Demonstrates completed local-first milestone evidence.,Use as concrete proof of reproducible implementation.,synthetic_portfolio_sample,local_reference_only
EVID-0016,Milestone 3,portfolio,csv,data/interim/accepted/sales_orders.csv,Sales Orders,Tracked portfolio evidence for portfolio.,180.0,20684,2c6042fca0499c01b8a810b340dc9571f2a8b8e5a9c89a8d5ca2cacd806274c9,data/raw/generation_manifest.json,data/raw/generation_manifest.json,make quality,Demonstrates completed local-first milestone evidence.,Use as concrete proof of reproducible implementation.,synthetic_portfolio_sample,local_reference_only
EVID-0017,Milestone 3,portfolio,csv,data/interim/accepted/supplier_performance.csv,Supplier Performance,Tracked portfolio evidence for portfolio.,120.0,14793,8f4746a5169034cc1803f855e7be607c48c04dac9b7f4a28a837159371a590f3,data/raw/generation_manifest.json,data/raw/generation_manifest.json,make quality,Demonstrates completed local-first milestone evidence.,Use as concrete proof of reproducible implementation.,synthetic_portfolio_sample,local_reference_only
